Run_s	SRA_Sample_s	Sample_Name_s	histological_type_s	is_tumor_s	sex_s	SRA_Study_s
SRR658283	SRS389073	GTEX-PVOW-0426-SM-2XCF8	Heart	No	male	SRP012682
SRR658129	SRS389074	GTEX-PVOW-0011-R3A-SM-32PKX	Brain	No	male	SRP012682
SRR655265	SRS389075	GTEX-W5X1-1426-SM-3GIKH	Adipose Tissue	No	female	SRP012682
SRR655277	SRS389076	GTEX-WFG8-0426-SM-3GILD	Thyroid	No	male	SRP012682
SRR655684	SRS389077	GTEX-T5JC-0011-R11A-SM-32PMB	Brain	No	male	SRP012682
SRR655289	SRS389078	GTEX-T5JC-0426-SM-32PLO	Skin	No	male	SRP012682
SRR655301	SRS389079	GTEX-U3ZN-2526-SM-3DB7V	Blood Vessel	No	female	SRP012682
SRR658164	SRS389080	GTEX-SJXC-0326-SM-2XCFI	Nerve	No	male	SRP012682
SRR655325	SRS389081	GTEX-T6MN-0326-SM-32PMK	Nerve	No	male	SRP012682
SRR658271	SRS389082	GTEX-S4UY-0426-SM-3K2AF	Blood Vessel	No	female	SRP012682
SRR655375	SRS389083	GTEX-TSE9-0011-R11A-SM-3DB7N	Brain	No	female	SRP012682
SRR655423	SRS389084	GTEX-S32W-0626-SM-2XCBG	Heart	No	female	SRP012682
SRR655399	SRS389085	GTEX-TMKS-0326-SM-3DB8A	Muscle	No	male	SRP012682
SRR655435	SRS389086	GTEX-RNOR-0011-R4A-SM-3GAD3	Brain	No	female	SRP012682
SRR655447	SRS389087	GTEX-TMMY-0726-SM-33HBE	Breast	No	female	SRP012682
SRR655471	SRS389088	GTEX-TML8-1926-SM-32QOS	Skin	No	female	SRP012682
SRR658200	SRS389089	GTEX-QVJO-0126-SM-3GIK4	Muscle	No	female	SRP012682
SRR655483	SRS389090	GTEX-VUSG-0006-SM-3GIK9	Blood	No	male	SRP012682
SRR655887	SRS389091	GTEX-T5JW-1826-SM-3GAE1	Muscle	No	female	SRP012682
SRR655519	SRS389092	GTEX-S3XE-1926-SM-3K2B3	Nerve	No	male	SRP012682
SRR655531	SRS389093	GTEX-TMKS-0226-SM-3DB7X	Adipose Tissue	No	male	SRP012682
SRR655578	SRS389094	GTEX-WEY5-2226-SM-3GILQ	Nerve	No	female	SRP012682
SRR655555	SRS389095	GTEX-PVOW-0011-R5A-SM-32PL7	Brain	No	male	SRP012682
SRR655590	SRS389096	GTEX-RVPU-0011-R2A-SM-2XCAG	Brain	No	male	SRP012682
SRR657801	SRS389097	GTEX-TSE9-0726-SM-3DB8C	Lung	No	female	SRP012682
SRR657754	SRS389098	GTEX-QMR6-0011-R10A-SM-32PKO	Brain	No	male	SRP012682
SRR657777	SRS389099	GTEX-P44H-0011-R10A-SM-2XCEK	Brain	No	male	SRP012682
SRR657731	SRS389100	GTEX-QDT8-0011-R5A-SM-32PKN	Brain	No	female	SRP012682
SRR657833	SRS389101	GTEX-S4Z8-2026-SM-3K2A9	Blood Vessel	No	male	SRP012682
SRR658469	SRS389102	GTEX-VJYA-1126-SM-3GIJU	Skin	No	male	SRP012682
SRR658307	SRS389103	GTEX-QVUS-0011-R10A-SM-3GIK3	Brain	No	female	SRP012682
SRR656179	SRS389104	GTEX-T2IS-0011-R11A-SM-32QPC	Brain	No	female	SRP012682
SRR656191	SRS389105	GTEX-S7SE-0726-SM-2XCD7	Thyroid	No	male	SRP012682
SRR658319	SRS389106	GTEX-VJWN-0726-SM-3GIJ8	Breast	No	female	SRP012682
SRR657997	SRS389107	GTEX-QVUS-2926-SM-3GIJB	Brain	No	female	SRP012682
SRR658105	SRS389108	GTEX-V955-2026-SM-3GAFA	Breast	No	male	SRP012682
SRR658152	SRS389109	GTEX-VJYA-1526-SM-3GIJV	Skin	No	male	SRP012682
SRR658021	SRS389110	GTEX-U8T8-2326-SM-3DB96	Thyroid	No	male	SRP012682
SRR658338	SRS389111	GTEX-TSE9-0126-SM-3DB83	Skin	No	female	SRP012682
SRR658362	SRS389112	GTEX-QDT8-0426-SM-32PKZ	Blood Vessel	No	female	SRP012682
SRR658385	SRS389113	GTEX-TMMY-0926-SM-33HBG	Lung	No	female	SRP012682
SRR658188	SRS389114	GTEX-RVPU-0011-R7A-SM-2XCAB	Brain	No	male	SRP012682
SRR658409	SRS389115	GTEX-T6MO-0326-SM-32QOK	Breast	No	female	SRP012682
SRR658421	SRS389116	GTEX-UJMC-0526-SM-3GAE3	Heart	No	male	SRP012682
SRR658117	SRS389117	GTEX-S32W-0726-SM-2XCBL	Thyroid	No	female	SRP012682
SRR658433	SRS389118	GTEX-R55D-0626-SM-3GAD5	Muscle	No	male	SRP012682
SRR658445	SRS389119	GTEX-S341-0326-SM-2XCAU	Lung	No	female	SRP012682
SRR658212	SRS389120	GTEX-S4Z8-1826-SM-3K2BH	Muscle	No	male	SRP012682
SRR658457	SRS389121	GTEX-S7SF-0526-SM-3K2BC	Heart	No	female	SRP012682
SRR658224	SRS389122	GTEX-TMKS-0126-SM-3DB7S	Skin	No	male	SRP012682
SRR658247	SRS389123	GTEX-S7SE-0011-R7A-SM-2XCDI	Brain	No	male	SRP012682
SRR658093	SRS389124	GTEX-RWS6-0005-SM-2XCAN	Blood	No	female	SRP012682
SRR658259	SRS389125	GTEX-U4B1-1626-SM-3DB8N	Muscle	No	male	SRP012682
SRR656131	SRS389126	K-562-SM-33HC7	Bone Marrow	Yes	female	SRP012682
SRR656275	SRS389127	GTEX-TMZS-0126-SM-3DB9Q	Skin	No	male	SRP012682
SRR656223	SRS389128	GTEX-T6MO-0006-SM-32QOU	Blood	No	female	SRP012682
SRR656095	SRS389129	GTEX-R55C-1826-SM-3GADI	Blood Vessel	No	male	SRP012682
SRR656153	SRS389131	GTEX-S4Z8-0426-SM-3K2AH	Lung	No	male	SRP012682
SRR656107	SRS389132	GTEX-SJXC-0126-SM-2XCFF	Skin	No	male	SRP012682
SRR656203	SRS389133	GTEX-QVUS-0006-SM-3GAE8	Blood	No	female	SRP012682
SRR656288	SRS389134	GTEX-UJHI-0426-SM-3DB8Y	Heart	No	female	SRP012682
SRR656167	SRS389135	GTEX-QVUS-0011-R6A-SM-3GACX	Brain	No	female	SRP012682
SRR656300	SRS389144	GTEX-W5X1-0826-SM-3GILN	Heart	No	female	SRP012682
SRR656493	SRS389146	GTEX-QMR6-0011-R4A-SM-32PKU	Brain	No	male	SRP012682
SRR656516	SRS389147	GTEX-T6MN-0011-R4A-SM-32QPG	Brain	No	male	SRP012682
SRR656564	SRS389148	GTEX-TSE9-0011-R1A-SM-3DB7E	Brain	No	female	SRP012682
SRR656457	SRS389149	GTEX-U8XE-2026-SM-3DB8S	Pancreas	No	male	SRP012682
SRR656247	SRS389150	GTEX-TKQ2-0826-SM-33HB6	Muscle	No	male	SRP012682
SRR656445	SRS389154	GTEX-T5JW-0005-SM-3GADE	Blood	No	female	SRP012682
SRR656313	SRS389155	GTEX-UJMC-1926-SM-3GADS	Nerve	No	male	SRP012682
SRR656349	SRS389157	GTEX-TMKS-0426-SM-3DB85	Nerve	No	male	SRP012682
SRR656325	SRS389158	GTEX-T8EM-1626-SM-3DB7K	Blood Vessel	No	male	SRP012682
SRR656469	SRS389159	GTEX-OXRP-0326-SM-33HBJ	Thyroid	No	female	SRP012682
SRR656528	SRS389160	GTEX-POYW-0826-SM-2XCEM	Thyroid	No	male	SRP012682
SRR656397	SRS389162	GTEX-SIU8-0326-SM-2XCDR	Nerve	No	male	SRP012682
SRR656373	SRS389163	GTEX-WEY5-0526-SM-3GIKZ	Thyroid	No	female	SRP012682
SRR656409	SRS389164	GTEX-S95S-1426-SM-2XCDM	Muscle	No	male	SRP012682
SRR656385	SRS389165	GTEX-S32W-2526-SM-2XCB8	Nerve	No	female	SRP012682
SRR656421	SRS389166	GTEX-UPJH-0226-SM-3GADV	Skin	No	male	SRP012682
SRR656433	SRS389167	GTEX-R55C-0326-SM-3GAF1	Heart	No	male	SRP012682
SRR656588	SRS389168	GTEX-P4PP-0326-SM-33HC4	Heart	No	female	SRP012682
SRR656552	SRS389169	GTEX-UTHO-0011-R5A-SM-3GIJD	Brain	No	male	SRP012682
SRR656745	SRS389303	GTEX-UTHO-3026-SM-3GAFB	Brain	No	male	SRP012682
SRR656758	SRS389304	GTEX-SNOS-1726-SM-32PLN	Blood Vessel	No	male	SRP012682
SRR656770	SRS389305	GTEX-U8T8-0426-SM-3DB8X	Nerve	No	male	SRP012682
SRR656860	SRS389306	GTEX-S3XE-2026-SM-3K2B5	Muscle	No	male	SRP012682
SRR656782	SRS389307	GTEX-TMZS-0006-SM-3DB8G	Blood	No	male	SRP012682
SRR656794	SRS389308	GTEX-T8EM-1026-SM-3DB7M	Skin	No	male	SRP012682
SRR656874	SRS389309	GTEX-WFON-0426-SM-3GIL4	Lung	No	male	SRP012682
SRR656886	SRS389310	GTEX-UPIC-0826-SM-3GADQ	Lung	No	female	SRP012682
SRR656899	SRS389311	GTEX-U4B1-0326-SM-3DB8K	Heart	No	male	SRP012682
SRR656911	SRS389355	GTEX-TML8-1226-SM-32QON	Breast	No	female	SRP012682
SRR656922	SRS389356	GTEX-U412-0426-SM-3DB9O	Skin	No	male	SRP012682
SRR656934	SRS389357	GTEX-S33H-0626-SM-2XCBJ	Lung	No	male	SRP012682
SRR656946	SRS389358	GTEX-T5JC-0526-SM-32PM7	Adipose Tissue	No	male	SRP012682
SRR657115	SRS389359	GTEX-S4Q7-0006-SM-3K2AT	Blood	No	male	SRP012682
SRR656958	SRS389360	GTEX-WFJO-0005-SM-3GIKY	Blood	No	male	SRP012682
SRR656970	SRS389361	GTEX-T6MN-0726-SM-32PML	Breast	No	male	SRP012682
SRR656982	SRS389362	GTEX-UJHI-0626-SM-3DB8T	Pancreas	No	female	SRP012682
SRR656994	SRS389364	GTEX-PVOW-0626-SM-2XCF6	Nerve	No	male	SRP012682
SRR657127	SRS389366	GTEX-UTHO-0011-R10A-SM-3GIJQ	Brain	No	male	SRP012682
SRR657018	SRS389367	GTEX-TKQ1-0226-SM-33HB5	Breast	No	male	SRP012682
SRR657042	SRS389369	GTEX-SUCS-1926-SM-32PM3	Skin	No	male	SRP012682
SRR657054	SRS389371	GTEX-QDT8-0526-SM-32PL5	Muscle	No	female	SRP012682
SRR657077	SRS389373	GTEX-UPIC-0726-SM-3GADW	Pancreas	No	female	SRP012682
SRR657089	SRS389374	GTEX-R45C-0926-SM-3GAD4	Heart	No	female	SRP012682
SRR657101	SRS389375	GTEX-UPIC-0226-SM-3GADO	Thyroid	No	female	SRP012682
SRR657151	SRS389377	GTEX-QVUS-0011-R4A-SM-3GAE7	Brain	No	female	SRP012682
SRR657139	SRS389378	GTEX-TMZS-0326-SM-3DB9P	Muscle	No	male	SRP012682
SRR657313	SRS389515	GTEX-Q734-2226-SM-3GAD9	Blood Vessel	No	female	SRP012682
SRR657325	SRS389516	GTEX-QMR6-1326-SM-32PLB	Brain	No	male	SRP012682
SRR657492	SRS389517	GTEX-U3ZN-1426-SM-3DB87	Heart	No	female	SRP012682
SRR657348	SRS389518	GTEX-T2IS-0011-R6A-SM-32QP2	Brain	No	female	SRP012682
SRR657360	SRS389519	GTEX-UJMC-0326-SM-3GAE2	Thyroid	No	male	SRP012682
SRR657372	SRS389520	GTEX-S4Z8-0326-SM-3K2AU	Thyroid	No	male	SRP012682
SRR657384	SRS389521	GTEX-RWSA-0126-SM-2XCBB	Skin	No	male	SRP012682
SRR657396	SRS389522	GTEX-QEG5-1126-SM-33HC2	Lung	No	male	SRP012682
SRR657420	SRS389523	GTEX-TKQ1-0126-SM-33HB3	Thyroid	No	male	SRP012682
SRR657949	SRS389524	GTEX-QEL4-0326-SM-3GAE5	Adipose Tissue	No	male	SRP012682
SRR657456	SRS389525	GTEX-T2IS-0426-SM-32QPE	Heart	No	female	SRP012682
SRR657444	SRS389526	GTEX-T5JC-0226-SM-32PMA	Blood Vessel	No	male	SRP012682
SRR657468	SRS389527	GTEX-W5X1-0006-SM-3GIJZ	Blood	No	female	SRP012682
SRR657480	SRS389528	GTEX-TML8-0005-SM-32QPA	Blood	No	female	SRP012682
SRR660260	SRS389529	GTEX-VJYA-1926-SM-3GIJJ	Muscle	No	male	SRP012682
SRR657528	SRS389530	GTEX-T2YK-2226-SM-32QPT	Breast	No	male	SRP012682
SRR657516	SRS389531	GTEX-SIU7-1726-SM-2XCDZ	Skin	No	male	SRP012682
SRR657540	SRS389532	GTEX-Q2AI-1626-SM-2S1P9	Nerve	No	male	SRP012682
SRR657961	SRS389533	K-562-SM-32PMP	Bone Marrow	Yes	female	SRP012682
SRR657599	SRS389534	GTEX-T2IS-0226-SM-32QPH	Adipose Tissue	No	female	SRP012682
SRR657552	SRS389535	GTEX-QDT8-0326-SM-32PL1	Nerve	No	female	SRP012682
SRR657575	SRS389536	GTEX-T6MO-1626-SM-32QOM	Skin	No	female	SRP012682
SRR657587	SRS389537	GTEX-T6MN-0011-R5A-SM-32QPD	Brain	No	male	SRP012682
SRR657915	SRS389538	GTEX-T5JC-2326-SM-32PMR	Brain	No	male	SRP012682
SRR657973	SRS389539	GTEX-T6MN-0011-R2A-SM-32QOW	Brain	No	male	SRP012682
SRR657985	SRS389540	GTEX-QCQG-1726-SM-3GIJ9	Skin	No	female	SRP012682
SRR658481	SRS389541	GTEX-WFON-0226-SM-3GIKR	Heart	No	male	SRP012682
SRR657611	SRS389542	GTEX-R3RS-1026-SM-3GADF	Lung	No	female	SRP012682
SRR657623	SRS389543	GTEX-S7SE-0526-SM-2XCD8	Blood Vessel	No	male	SRP012682
SRR657635	SRS389544	GTEX-TSE9-0011-R10A-SM-3DB7O	Brain	No	female	SRP012682
SRR657707	SRS389546	GTEX-TKQ2-0006-SM-33HBH	Blood	No	male	SRP012682
SRR657927	SRS389547	GTEX-QDT8-0926-SM-32PL2	Lung	No	female	SRP012682
SRR657845	SRS389548	GTEX-S4P3-0226-SM-3K2BD	Thyroid	No	female	SRP012682
SRR659696	SRS389549	GTEX-U8T8-1426-SM-3DB9H	Muscle	No	male	SRP012682
SRR659590	SRS389550	GTEX-UJHI-1726-SM-3DB9B	Muscle	No	female	SRP012682
SRR658501	SRS389552	GTEX-S4Z8-0006-SM-3K2AQ	Blood	No	male	SRP012682
SRR658573	SRS389583	GTEX-T6MN-0626-SM-32PM9	Thyroid	No	male	SRP012682
SRR658549	SRS389584	GTEX-TSE9-0426-SM-3DB81	Blood Vessel	No	female	SRP012682
SRR658585	SRS389585	GTEX-UPIC-0005-SM-3GACV	Blood	No	female	SRP012682
SRR658707	SRS389586	GTEX-SIU8-0526-SM-2XCDP	Muscle	No	male	SRP012682
SRR658597	SRS389587	GTEX-S7SE-0008-SM-33HB1	Skin	No	male	SRP012682
SRR658681	SRS389588	GTEX-Q2AH-0005-SM-33HBR	Blood	No	male	SRP012682
SRR659649	SRS389590	GTEX-U3ZN-0226-SM-3DB8D	Liver	No	female	SRP012682
SRR658633	SRS389591	GTEX-U8T8-0005-SM-3DB8F	Blood	No	male	SRP012682
SRR659625	SRS389592	GTEX-UTHO-0011-R4A-SM-3GIJP	Brain	No	male	SRP012682
SRR658621	SRS389593	GTEX-T6MN-0426-SM-32PMF	Blood Vessel	No	male	SRP012682
SRR658657	SRS389594	GTEX-Q2AG-0126-SM-33HBV	Skin	No	female	SRP012682
SRR658645	SRS389595	GTEX-RVPU-0011-R5A-SM-2XCAD	Brain	No	male	SRP012682
SRR659602	SRS389596	GTEX-QDT8-0011-R3A-SM-32PKR	Brain	No	female	SRP012682
SRR659756	SRS389597	GTEX-WFG8-2126-SM-3GIKQ	Skin	No	male	SRP012682
SRR659768	SRS389598	GTEX-QV44-0006-SM-2S1Q7	Blood	No	male	SRP012682
SRR659780	SRS389599	GTEX-TSE9-0011-R7A-SM-3DB7P	Brain	No	female	SRP012682
SRR659720	SRS389600	GTEX-U3ZH-0005-SM-3DB72	Blood	No	male	SRP012682
SRR659744	SRS389601	GTEX-R53T-0526-SM-3GADL	Thyroid	No	female	SRP012682
SRR659673	SRS389602	GTEX-QMR6-0011-R1A-SM-32PKW	Brain	No	male	SRP012682
SRR658790	SRS389603	GTEX-SN8G-0006-SM-32PLD	Blood	No	female	SRP012682
SRR658719	SRS389604	GTEX-UJMC-1126-SM-3GADP	Pancreas	No	male	SRP012682
SRR658730	SRS389605	GTEX-RWSA-0526-SM-2XCBC	Blood Vessel	No	male	SRP012682
SRR659436	SRS389606	GTEX-UTHO-0726-SM-3GAEN	Muscle	No	male	SRP012682
SRR658742	SRS389607	GTEX-S4UY-0006-SM-3K2A7	Blood	No	female	SRP012682
SRR658813	SRS389609	GTEX-TSE9-2926-SM-3DB77	Brain	No	female	SRP012682
SRR658754	SRS389610	GTEX-SUCS-1826-SM-32PM1	Adipose Tissue	No	male	SRP012682
SRR658921	SRS389611	GTEX-U8XE-0626-SM-3DB8U	Blood Vessel	No	male	SRP012682
SRR658766	SRS389612	GTEX-TSE9-0526-SM-3DB7Z	Muscle	No	female	SRP012682
SRR659507	SRS389613	GTEX-U3ZN-2226-SM-3DB88	Muscle	No	female	SRP012682
SRR658837	SRS389614	GTEX-WFG7-2026-SM-3GIL7	Skin	No	male	SRP012682
SRR658849	SRS389615	GTEX-PVOW-1026-SM-2XCF9	Lung	No	male	SRP012682
SRR659013	SRS389616	GTEX-TSE9-0011-R8A-SM-3DB7R	Brain	No	female	SRP012682
SRR659555	SRS389617	GTEX-QMR6-1426-SM-32PLA	Brain	No	male	SRP012682
SRR658873	SRS389618	GTEX-VJWN-0126-SM-3GIK7	Skin	No	female	SRP012682
SRR658941	SRS389619	GTEX-TMZS-0226-SM-3DB9N	Adipose Tissue	No	male	SRP012682
SRR658885	SRS389620	GTEX-S7SE-0926-SM-2XCD6	Lung	No	male	SRP012682
SRR659578	SRS389621	GTEX-VJYA-0426-SM-3GIJK	Thyroid	No	male	SRP012682
SRR658897	SRS389622	GTEX-RWSA-1126-SM-2XCAZ	Lung	No	male	SRP012682
SRR659133	SRS389623	GTEX-TMMY-0826-SM-33HB9	Thyroid	No	female	SRP012682
SRR658909	SRS389624	K-562-SM-32QPQ	Bone Marrow	Yes	female	SRP012682
SRR659169	SRS389625	GTEX-QDT8-0006-SM-32PL3	Blood	No	female	SRP012682
SRR659448	SRS389634	GTEX-RWS6-2026-SM-2XCB5	Skin	No	female	SRP012682
SRR659223	SRS389635	GTEX-T5JC-2126-SM-32PMO	Breast	No	male	SRP012682
SRR658977	SRS389636	GTEX-S7SE-0011-R1A-SM-2XCDE	Brain	No	male	SRP012682
SRR658989	SRS389637	GTEX-QVUS-0226-SM-3GIJY	Muscle	No	female	SRP012682
SRR659533	SRS389638	GTEX-P44H-0626-SM-2XCF2	Blood Vessel	No	male	SRP012682
SRR659001	SRS389639	GTEX-S33H-0005-SM-2XCAL	Blood	No	male	SRP012682
SRR659037	SRS389640	GTEX-UPK5-1126-SM-3GAEJ	Lung	No	male	SRP012682
SRR659049	SRS389641	GTEX-SSA3-0526-SM-32QPL	Nerve	No	male	SRP012682
SRR659061	SRS389642	GTEX-PX3G-0006-SM-33HBQ	Blood	No	female	SRP012682
SRR659104	SRS389643	GTEX-SNMC-1226-SM-2XCFP	Skin	No	male	SRP012682
SRR659109	SRS389644	GTEX-U4B1-1726-SM-3DB9F	Adipose Tissue	No	male	SRP012682
SRR659331	SRS389645	GTEX-P44H-2426-SM-2XCEJ	Brain	No	male	SRP012682
SRR659484	SRS389646	GTEX-QDT8-0011-R7A-SM-32PKF	Brain	No	female	SRP012682
SRR659389	SRS389647	GTEX-SN8G-0526-SM-32PLE	Blood Vessel	No	female	SRP012682
SRR659971	SRS389648	GTEX-R3RS-0005-SM-3GAEH	Blood	No	female	SRP012682
SRR659121	SRS389649	GTEX-T5JC-0011-R7A-SM-32PME	Brain	No	male	SRP012682
SRR658953	SRS389650	GTEX-POYW-0726-SM-2XCEO	Adipose Tissue	No	male	SRP012682
SRR659157	SRS389651	GTEX-UPK5-0426-SM-3GAEK	Skin	No	male	SRP012682
SRR659307	SRS389652	GTEX-S4P3-1826-SM-3K2AL	Blood Vessel	No	female	SRP012682
SRR659816	SRS389653	GTEX-SN8G-0326-SM-32PLG	Muscle	No	female	SRP012682
SRR659863	SRS389654	K-562-SM-3GAFC	Bone Marrow	Yes	female	SRP012682
SRR659839	SRS389655	GTEX-T6MO-1926-SM-32QOJ	Blood Vessel	No	female	SRP012682
SRR659899	SRS389656	GTEX-T6MN-0011-R7A-SM-32QP5	Brain	No	male	SRP012682
SRR659995	SRS389657	K-562-SM-2XCE8	Bone Marrow	Yes	female	SRP012682
SRR660007	SRS389658	GTEX-QDT8-0011-R8A-SM-32PKE	Brain	No	female	SRP012682
SRR659911	SRS389659	GTEX-WFG7-2226-SM-3GIKP	Muscle	No	male	SRP012682
SRR659923	SRS389662	GTEX-T2IS-0626-SM-32QP6	Thyroid	No	female	SRP012682
SRR659472	SRS389663	GTEX-RVPU-0011-R1A-SM-2XCAI	Brain	No	male	SRP012682
SRR659935	SRS389664	GTEX-UPJH-0006-SM-3GACW	Blood	No	male	SRP012682
SRR659947	SRS389665	GTEX-U3ZN-0326-SM-3DB86	Thyroid	No	female	SRP012682
SRR659851	SRS389666	GTEX-WFJO-0226-SM-3GIKW	Thyroid	No	male	SRP012682
SRR660030	SRS389667	K-562-SM-3DB9M	Bone Marrow	Yes	female	SRP012682
SRR659983	SRS389668	GTEX-WFG8-0626-SM-3GILJ	Heart	No	male	SRP012682
SRR659187	SRS389669	GTEX-TSE9-0011-R6A-SM-3DB7L	Brain	No	female	SRP012682
SRR659212	SRS389670	GTEX-S7SE-0226-SM-2XCD4	Adipose Tissue	No	male	SRP012682
SRR659235	SRS389671	GTEX-T2IS-0011-R3A-SM-32QPB	Brain	No	female	SRP012682
SRR659875	SRS389672	GTEX-PWCY-0005-SM-33HBP	Blood	No	female	SRP012682
SRR660042	SRS389673	GTEX-SNMC-0006-SM-2XCFE	Blood	No	male	SRP012682
SRR659247	SRS389674	GTEX-UPJH-0326-SM-3GADU	Skin	No	male	SRP012682
SRR659259	SRS389675	GTEX-U3ZH-0226-SM-3DB7B	Thyroid	No	male	SRP012682
SRR659283	SRS389676	GTEX-S3XE-0426-SM-3K2AC	Heart	No	male	SRP012682
SRR659295	SRS389677	GTEX-S32W-0006-SM-2XCAK	Blood	No	female	SRP012682
SRR659319	SRS389678	GTEX-R55C-0005-SM-3GAE9	Blood	No	male	SRP012682
SRR659804	SRS389679	GTEX-T6MN-0226-SM-32PMD	Adipose Tissue	No	male	SRP012682
SRR659355	SRS389680	GTEX-S4UY-0126-SM-3K2BB	Skin	No	female	SRP012682
SRR659367	SRS389681	GTEX-SN8G-0426-SM-32PLF	Nerve	No	female	SRP012682
SRR659412	SRS389682	GTEX-S7SE-2526-SM-2XCDL	Brain	No	male	SRP012682
SRR659427	SRS389683	GTEX-SSA3-0426-SM-32QPI	Blood Vessel	No	male	SRP012682
SRR660066	SRS389684	GTEX-SNOS-1526-SM-32PLW	Muscle	No	male	SRP012682
SRR659460	SRS389685	GTEX-SN8G-0126-SM-32PLI	Skin	No	female	SRP012682
SRR660127	SRS389686	K-562-SM-3GILO	Bone Marrow	Yes	female	SRP012682
SRR659708	SRS389687	GTEX-S33H-2226-SM-2XCB7	Muscle	No	male	SRP012682
SRR660091	SRS389688	GTEX-T5JC-0011-R8A-SM-32PLM	Brain	No	male	SRP012682
SRR659637	SRS389689	GTEX-T6MN-0926-SM-32PLX	Heart	No	male	SRP012682
SRR660079	SRS389690	GTEX-QV31-0726-SM-3GAEG	Thyroid	No	male	SRP012682
SRR660103	SRS389691	GTEX-UTHO-0011-R1A-SM-3GIJO	Brain	No	male	SRP012682
SRR660115	SRS389692	GTEX-RWSA-0726-SM-2XCBE	Muscle	No	male	SRP012682
SRR660895	SRS389705	GTEX-T5JC-0011-R9A-SM-32PLV	Brain	No	male	SRP012682
SRR660414	SRS389707	GTEX-VUSG-0926-SM-3GIK6	Lung	No	male	SRP012682
SRR660661	SRS389708	GTEX-QVUS-0011-R9A-SM-3GIJA	Brain	No	female	SRP012682
SRR660673	SRS389709	GTEX-T2IS-2626-SM-32QPP	Muscle	No	female	SRP012682
SRR660685	SRS389710	GTEX-T6MN-0005-SM-32PLJ	Blood	No	male	SRP012682
SRR660697	SRS389711	GTEX-UPK5-0006-SM-3GAD8	Blood	No	male	SRP012682
SRR660474	SRS389712	GTEX-P44H-0226-SM-2XCEU	Skin	No	male	SRP012682
SRR660248	SRS389713	GTEX-W5X1-2326-SM-3GIL6	Breast	No	female	SRP012682
SRR665563	SRS389714	GTEX-QMR6-0011-R7A-SM-32PKL	Brain	No	male	SRP012682
SRR660756	SRS389715	GTEX-VUSG-0726-SM-3GIK1	Heart	No	male	SRP012682
SRR660152	SRS389716	GTEX-U412-0826-SM-3DB9K	Lung	No	male	SRP012682
SRR660764	SRS389717	GTEX-U8T8-0226-SM-3DB97	Adipose Tissue	No	male	SRP012682
SRR660776	SRS389718	GTEX-S7SF-0001-SM-3K2BE	Blood	No	female	SRP012682
SRR660306	SRS389719	GTEX-TSE9-0326-SM-3DB82	Nerve	No	female	SRP012682
SRR660555	SRS389720	GTEX-Q2AG-1026-SM-33HBW	Lung	No	female	SRP012682
SRR660812	SRS389721	GTEX-T6MN-0011-R11A-SM-32QOX	Brain	No	male	SRP012682
SRR660824	SRS389722	GTEX-QMR6-1926-SM-32PL9	Lung	No	male	SRP012682
SRR660164	SRS389723	GTEX-TMMY-0426-SM-33HBB	Muscle	No	female	SRP012682
SRR660847	SRS389724	GTEX-S4Z8-1726-SM-3K2AX	Adipose Tissue	No	male	SRP012682
SRR660859	SRS389725	GTEX-SSA3-0005-SM-32QOT	Blood	No	male	SRP012682
SRR660188	SRS389726	GTEX-S4Z8-0008-SM-33HAZ	Skin	No	male	SRP012682
SRR660212	SRS389727	GTEX-RWSA-0826-SM-2XCBF	Thyroid	No	male	SRP012682
SRR660224	SRS389728	GTEX-WFJO-1026-SM-3GIKL	Adipose Tissue	No	male	SRP012682
SRR665610	SRS389729	GTEX-U3ZH-2026-SM-3DB78	Skin	No	male	SRP012682
SRR665393	SRS389730	GTEX-T5JC-0011-R5A-SM-32PLK	Brain	No	male	SRP012682
SRR660236	SRS389731	GTEX-S4UY-0626-SM-3K2AO	Thyroid	No	female	SRP012682
SRR660272	SRS389732	GTEX-U4B1-1926-SM-3DB9E	Blood Vessel	No	male	SRP012682
SRR660733	SRS389733	GTEX-QDT8-0011-R1A-SM-32PKS	Brain	No	female	SRP012682
SRR660283	SRS389734	GTEX-T2IS-1526-SM-32QPR	Breast	No	female	SRP012682
SRR660295	SRS389735	GTEX-RU1J-0003-SM-3K2A8	Blood	No	female	SRP012682
SRR665429	SRS389736	GTEX-WFG7-0526-SM-3GIKI	Lung	No	male	SRP012682
SRR660330	SRS389737	GTEX-TSE9-0011-R4A-SM-3DB7H	Brain	No	female	SRP012682
SRR660354	SRS389738	GTEX-T2YK-0526-SM-32QPJ	Skin	No	male	SRP012682
SRR660788	SRS389739	GTEX-UJHI-0006-SM-3DB8H	Blood	No	female	SRP012682
SRR660366	SRS389740	GTEX-SE5C-0626-SM-2XCDV	Heart	No	female	SRP012682
SRR660378	SRS389741	GTEX-S95S-0005-SM-2XCEC	Blood	No	male	SRP012682
SRR660390	SRS389742	K-562-SM-2XCFL	Bone Marrow	Yes	female	SRP012682
SRR660426	SRS389743	GTEX-S341-1726-SM-3K2AK	Skin	No	female	SRP012682
SRR660438	SRS389744	GTEX-QEL4-0726-SM-3GIJ5	Thyroid	No	male	SRP012682
SRR660450	SRS389745	GTEX-S3XE-1826-SM-3K2B4	Blood Vessel	No	male	SRP012682
SRR665262	SRS389746	GTEX-TML8-1826-SM-32QOR	Muscle	No	female	SRP012682
