# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "4" "-t" "gene" "-f" "-a" "databases/GenomeReference_hg38/annotation/Homo_sapiens.GRCh38.77.gtf" "-o" "databases/gtex_files/brain/SRR598253/counts/SRR598253_counts.txt" "databases/gtex_files/brain/SRR598253/star_aligned/SRR598253.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	databases/gtex_files/brain/SRR598253/star_aligned/SRR598253.Aligned.sortedByCoord.out.bam
ENSG00000118762	4	88007668	88077777	+	70110	3376
ENSG00000118777	4	88090264	88231322	-	141059	5117
ENSG00000241853	4	88163579	88163967	+	389	0
ENSG00000201707	4	88201703	88201810	+	108	0
ENSG00000221440	4	88206427	88206552	-	126	0
ENSG00000251285	4	88220569	88223837	-	3269	0
ENSG00000199326	4	88226729	88226829	+	101	0
ENSG00000163644	4	88257620	88284769	-	27150	9246
ENSG00000200469	4	88275205	88275308	-	104	0
ENSG00000246375	4	88284942	88331421	+	46480	169
ENSG00000207480	4	88330176	88330278	-	103	0
ENSG00000138642	4	88378739	88443111	+	64373	1672
ENSG00000138646	4	88457117	88506163	+	49047	599
ENSG00000221079	4	88493933	88494017	+	85	0
ENSG00000249934	4	88508591	88510403	-	1813	11
ENSG00000145337	4	88520985	88523813	-	2829	0
ENSG00000138641	4	88521048	88708542	+	187495	7439
ENSG00000255072	4	88521573	88521789	-	217	0
ENSG00000249755	4	88527160	88528170	+	1011	0
ENSG00000252322	4	88583666	88583972	-	307	0
ENSG00000207524	4	88684848	88684954	-	107	0
ENSG00000177432	4	88695915	88698235	-	2321	0
ENSG00000248019	4	88709789	88730103	+	20315	536
ENSG00000278151	4	88710147	88710265	+	119	0
ENSG00000276003	4	88723209	88723316	+	108	0
ENSG00000138640	4	88725955	89111398	-	385444	1622
ENSG00000271359	4	89111500	89112368	+	869	27
ENSG00000180346	4	89112817	89114899	+	2083	168
ENSG00000270720	4	89119284	89119871	+	588	6
ENSG00000212226	4	89130852	89130953	+	102	0
ENSG00000185477	4	89236386	89308010	-	71625	3816
ENSG00000251095	4	89551356	89726752	+	175397	68
ENSG00000145335	4	89724099	89838315	-	114217	4048
ENSG00000274238	4	89743792	89744305	+	514	0
ENSG00000277695	4	89747802	89755853	+	8052	0
ENSG00000276542	4	89748283	89749154	+	872	0
ENSG00000247775	4	89836408	89841978	+	5571	5
ENSG00000138722	4	89879532	89954629	+	75098	419
ENSG00000184305	4	90127535	91601913	+	1474379	1206
ENSG00000252087	4	90370123	90370427	+	305	0
ENSG00000251401	4	90682996	90683123	+	128	0
ENSG00000187653	4	90838903	90839037	-	135	0
ENSG00000248984	4	91108023	91112790	-	4768	0
ENSG00000249049	4	91319034	91325306	-	6273	0
ENSG00000279013	4	91603275	91605292	+	2018	125
ENSG00000249891	4	91885046	91885254	-	209	0
ENSG00000249052	4	91887886	91904335	+	16450	0
ENSG00000248817	4	92182477	92184052	-	1576	0
ENSG00000280056	4	92260367	92260751	-	385	0
ENSG00000249152	4	92268767	92277075	-	8309	0
ENSG00000248511	4	92297251	92304178	-	6928	24
ENSG00000152208	4	92304399	93774556	+	1470158	3865
ENSG00000251449	4	92702345	92702659	+	315	0
ENSG00000249239	4	92821986	92822918	-	933	0
ENSG00000248627	4	92833685	92838842	-	5158	0
ENSG00000248750	4	92884663	92885107	+	445	0
ENSG00000250908	4	93318623	93319786	-	1164	0
ENSG00000252342	4	93820171	93820280	+	110	0
ENSG00000172238	4	93828753	93830964	+	2212	0
ENSG00000246541	4	94117792	94207556	-	89765	4
ENSG00000250897	4	94195940	94196513	-	574	0
ENSG00000163104	4	94207611	94291292	+	83682	2649
ENSG00000163106	4	94298535	94342876	-	44342	126
ENSG00000241103	4	94369833	94370163	+	331	0
ENSG00000279272	4	94450651	94450892	-	242	0
ENSG00000163110	4	94451857	94668227	+	216371	6298
ENSG00000249951	4	94675245	94702570	+	27326	2
ENSG00000249599	4	94743800	94757533	-	13734	22
ENSG00000138696	4	94757968	95158448	+	400481	2729
ENSG00000182168	4	95162504	95549206	-	386703	2866
ENSG00000271474	4	95549129	95552457	+	3329	436
ENSG00000242936	4	95644952	95645293	-	342	0
ENSG00000163114	4	95840019	95841474	+	1456	0
ENSG00000200622	4	95868667	95868764	-	98	0
ENSG00000201744	4	96152297	96152403	-	107	0
ENSG00000250655	4	96212279	96213100	+	822	0
ENSG00000248510	4	96310701	96818864	+	508164	8
ENSG00000201640	4	96348734	96349038	-	305	0
ENSG00000236764	4	96902801	96903050	+	250	0
ENSG00000253170	4	97120701	97135059	+	14359	2
ENSG00000163116	4	97184093	98143240	-	959148	70
ENSG00000254044	4	97334635	97633823	-	299189	0
ENSG00000251620	4	97366926	97490164	+	123239	0
ENSG00000271995	4	97486806	97486896	+	91	0
ENSG00000250293	4	97916353	97917401	-	1049	0
ENSG00000242697	4	98025390	98026240	+	851	0
ENSG00000214904	4	98048555	98049043	+	489	0
ENSG00000214559	4	98251688	98261630	-	9943	113
ENSG00000138698	4	98261384	98443861	+	182478	9950
ENSG00000242318	4	98409290	98409763	+	474	0
ENSG00000168785	4	98470367	98658629	-	188263	6587
ENSG00000251523	4	98496364	98509935	+	13572	0
ENSG00000260641	4	98658904	98664550	+	5647	261
ENSG00000249764	4	98713804	98713971	-	168	0
ENSG00000227118	4	98740742	98741231	+	490	0
ENSG00000151247	4	98871684	98930637	-	58954	4073
ENSG00000249055	4	98909537	98909848	-	312	0
ENSG00000263923	4	98928897	98994994	+	66098	53
ENSG00000238449	4	98929914	98929993	-	80	0
ENSG00000214886	4	98955982	98956767	+	786	0
ENSG00000252548	4	98966815	98966873	-	59	0
ENSG00000251437	4	98976800	98977117	-	318	0
ENSG00000164024	4	98995620	99062813	+	67194	2735
ENSG00000265213	4	98997387	98997460	+	74	0
ENSG00000250496	4	99022311	99023131	-	821	0
ENSG00000272777	4	99067256	99068125	-	870	168
ENSG00000197894	4	99070978	99088801	-	17824	5920
ENSG00000246090	4	99088857	99301356	+	212500	57
ENSG00000198099	4	99123657	99157792	-	34136	0
ENSG00000249065	4	99160514	99161645	-	1132	0
ENSG00000172955	4	99202638	99219537	-	16900	0
ENSG00000187758	4	99276367	99291028	-	14662	0
ENSG00000196616	4	99304964	99321442	-	16479	106
ENSG00000248144	4	99336492	99353027	-	16536	6
ENSG00000196344	4	99412261	99435737	-	23477	0
ENSG00000250300	4	99469598	99498698	-	29101	2
ENSG00000138813	4	99511004	99542303	+	31300	0
ENSG00000145331	4	99546709	99564032	-	17324	422
ENSG00000138823	4	99563761	99623999	+	60239	22
ENSG00000248676	4	99594799	99625913	-	31115	0
ENSG00000248713	4	99636529	99654648	-	18120	469
ENSG00000070190	4	99816833	99870154	+	53322	47
ENSG00000279913	4	99844138	99844696	+	559	0
ENSG00000109270	4	99878336	99894490	-	16155	3597
ENSG00000164031	4	99896248	99946726	-	50479	3915
ENSG00000279098	4	99942081	99942522	-	442	0
ENSG00000164032	4	99948086	99950388	-	2303	8166
ENSG00000245322	4	99950006	100195099	+	245094	185
ENSG00000250403	4	99990737	99991477	-	741	0
ENSG00000248820	4	100041841	100042104	-	264	0
ENSG00000222196	4	100129945	100130035	-	91	0
ENSG00000145358	4	100185870	100190782	-	4913	0
ENSG00000249710	4	100190033	100215505	+	25473	439
ENSG00000164035	4	100395341	100880126	-	484786	1025
ENSG00000250223	4	100660279	100675113	-	14835	0
ENSG00000251219	4	100778582	100791235	-	12654	0
ENSG00000251636	4	100812255	100814280	-	2026	0
ENSG00000138814	4	101023409	101348278	-	324870	79879
ENSG00000273882	4	101240795	101240872	-	78	0
ENSG00000221265	4	101330302	101330414	-	113	0
ENSG00000254531	4	101347780	101348883	+	1104	770
ENSG00000153064	4	101411286	102074812	+	663527	240
ENSG00000199529	4	101723876	101723980	+	105	0
ENSG00000251149	4	101972423	101972798	+	376	0
ENSG00000251309	4	101976894	102036903	-	60010	0
ENSG00000275124	4	102158943	102159050	+	108	0
ENSG00000138821	4	102251041	102431258	-	180218	1557
ENSG00000241144	4	102348392	102348691	-	300	0
ENSG00000248161	4	102418602	102450010	-	31409	4
ENSG00000251572	4	102461250	102462152	+	903	0
ENSG00000260651	4	102500841	102501319	-	479	2
ENSG00000109320	4	102501329	102617302	+	115974	1613
ENSG00000238553	4	102565875	102565967	-	93	0
ENSG00000109323	4	102631488	102760994	-	129507	1679
ENSG00000241981	4	102662611	102663073	+	463	0
ENSG00000230069	4	102727274	102730721	-	3448	0
ENSG00000248971	4	102728746	102730171	-	1426	0
ENSG00000224207	4	102734358	102734612	+	255	0
ENSG00000251288	4	102751401	102752641	+	1241	0
ENSG00000109332	4	102794383	102868896	-	74514	13325
ENSG00000246560	4	102828055	102844075	+	16021	0
ENSG00000252739	4	102837047	102837099	-	53	0
ENSG00000145354	4	102868978	102889242	+	20265	420
ENSG00000164037	4	102885048	103019739	-	134692	507
ENSG00000250651	4	102896725	102898237	+	1513	0
ENSG00000276978	4	102898565	102898621	+	57	0
ENSG00000249283	4	102961956	102963327	+	1372	0
ENSG00000164038	4	103019868	103085829	-	65962	4238
ENSG00000164039	4	103079435	103099883	-	20449	944
ENSG00000138778	4	103105806	103198409	-	92604	182
ENSG00000248740	4	103256159	103453658	+	197500	14
ENSG00000251577	4	103548745	103624534	+	75790	0
ENSG00000250920	4	103550927	103559127	-	8201	0
ENSG00000251571	4	103572089	103574082	+	1994	0
ENSG00000169836	4	103586031	103719816	-	133786	10
ENSG00000252460	4	103924540	103924641	+	102	0
ENSG00000249614	4	103961616	104036923	+	75308	2
ENSG00000251170	4	104230380	104411035	+	180656	57
ENSG00000215999	4	104278107	104278191	-	85	0
ENSG00000168772	4	104468312	104494901	-	26590	1120
ENSG00000272082	4	104490876	104490954	+	79	0
ENSG00000245384	4	104490965	104697592	+	206628	201
ENSG00000250670	4	104556960	104568877	+	11918	0
ENSG00000248242	4	104653874	104966793	-	312920	922
ENSG00000276215	4	104796128	104796221	+	94	0
ENSG00000244470	4	104886118	104886955	-	838	0
ENSG00000248373	4	104907357	105120000	+	212644	10
ENSG00000251906	4	104974672	104974771	+	100	0
ENSG00000276992	4	104996900	104997052	-	153	0
ENSG00000251473	4	105102891	105104004	-	1114	0
ENSG00000252136	4	105105987	105106094	+	108	0
ENSG00000251259	4	105137280	105140619	-	3340	42
ENSG00000168769	4	105145875	105279816	+	133942	1643
ENSG00000251586	4	105171354	105178063	-	6710	0
ENSG00000243383	4	105293664	105293946	+	283	2
ENSG00000138777	4	105369077	105474081	-	105005	2429
ENSG00000200917	4	105406997	105407092	+	96	0
ENSG00000249264	4	105484698	105486080	+	1383	45
ENSG00000216425	4	105526596	105527397	-	802	0
ENSG00000250922	4	105532475	105532630	+	156	0
ENSG00000250522	4	105540190	105552355	-	12166	0
ENSG00000236699	4	105552620	105708093	+	155474	34
ENSG00000249885	4	105561591	105570238	+	8648	0
ENSG00000248778	4	105679050	105680094	-	1045	0
ENSG00000138785	4	105682627	105895986	-	213360	42
ENSG00000138780	4	105708778	105847728	+	138951	0
ENSG00000251175	4	105746245	105827172	-	80928	0
ENSG00000168743	4	105894775	106004027	+	109253	765
ENSG00000250740	4	105927060	105932722	-	5663	0
ENSG00000249635	4	106003317	106022478	-	19162	66
ENSG00000145348	4	106041599	106321495	-	279897	2653
ENSG00000164022	4	106315544	106349226	+	33683	2030
ENSG00000250298	4	106358398	106367202	-	8805	0
ENSG00000222333	4	106415706	106415785	-	80	0
ENSG00000249613	4	106433624	106453448	+	19825	0
ENSG00000248915	4	106836498	106837601	-	1104	0
ENSG00000155011	4	106921802	107283806	-	362005	149
ENSG00000213522	4	107203349	107203924	-	576	0
ENSG00000251081	4	107258700	107301870	+	43171	2
ENSG00000252470	4	107435118	107435220	+	103	0
ENSG00000138801	4	107590276	107720452	-	130177	8575
ENSG00000164023	4	107824563	107915047	+	90485	117
ENSG00000245293	4	107863479	107978799	-	115321	137
ENSG00000222691	4	107867807	107867910	-	104	0
ENSG00000155016	4	107931369	107953457	+	22089	0
ENSG00000249604	4	107936031	107941255	-	5225	0
ENSG00000138796	4	107989714	108035175	+	45462	3133
ENSG00000138795	4	108047545	108168956	-	121412	1350
ENSG00000232021	4	108167525	108256836	+	89312	30
ENSG00000239939	4	108407843	108408578	-	736	0
ENSG00000278589	4	108415220	108416639	+	1420	0
ENSG00000250485	4	108417705	108419763	-	2059	0
ENSG00000234492	4	108538190	108620460	-	82271	200
ENSG00000109475	4	108620566	108630412	+	9847	15118
ENSG00000198856	4	108650584	108667820	+	17237	1506
ENSG00000206601	4	108652150	108652256	+	107	0
ENSG00000164089	4	108742040	108763054	-	21015	27128
ENSG00000249257	4	108773613	108774020	+	408	0
ENSG00000250185	4	108788745	108789779	-	1035	9
ENSG00000265522	4	108789200	108789262	-	63	0
ENSG00000188517	4	108810721	109302657	-	491937	1131
ENSG00000277189	4	109016698	109016782	+	85	0
ENSG00000246774	4	109303035	109316135	+	13101	156
ENSG00000249465	4	109346326	109347459	-	1134	71
ENSG00000247950	4	109347475	109433817	-	86343	330
ENSG00000138802	4	109433772	109540896	+	107125	2732
ENSG00000277970	4	109437642	109437742	-	101	0
ENSG00000243227	4	109450772	109451068	-	297	0
ENSG00000207988	4	109488698	109488795	+	98	0
ENSG00000225094	4	109553243	109554094	-	852	0
ENSG00000249965	4	109555170	109555732	+	563	2
ENSG00000005059	4	109560205	109688726	+	128522	246
ENSG00000248785	4	109673843	109674124	+	282	0
ENSG00000138794	4	109688622	109703583	-	14962	395
ENSG00000273447	4	109692004	109692703	+	700	0
ENSG00000123739	4	109709989	109730077	-	20089	4677
ENSG00000205403	4	109740694	109802179	-	61486	327
ENSG00000272795	4	109815047	109815410	-	364	19
ENSG00000109534	4	109815510	109824740	+	9231	917
ENSG00000180245	4	109827994	109844604	+	16611	109
ENSG00000183423	4	109848202	109872315	+	24114	124
ENSG00000249681	4	109879070	109879897	-	828	0
ENSG00000138798	4	109912884	110012266	+	99383	88
ENSG00000207260	4	109992325	109992431	+	107	0
ENSG00000170522	4	110045846	110199199	-	153354	1576
ENSG00000263940	4	110117736	110118070	+	335	0
ENSG00000248200	4	110146374	110147248	+	875	0
ENSG00000166530	4	110251871	110252099	-	229	0
ENSG00000250594	4	110264865	110265017	-	153	0
ENSG00000212160	4	110278185	110278291	+	107	0
ENSG00000250304	4	110291644	110293573	+	1930	0
ENSG00000276369	4	110298484	110298550	+	67	0
ENSG00000138792	4	110365733	110565285	+	199553	175
ENSG00000251464	4	110399773	110400511	-	739	0
ENSG00000251046	4	110415898	110418504	+	2607	0
ENSG00000199894	4	110433109	110433188	-	80	0
ENSG00000250511	4	110512488	110519505	-	7018	0
ENSG00000250103	4	110595513	110615458	-	19946	0
ENSG00000164093	4	110617423	110642123	-	24701	7
ENSG00000249519	4	110794403	110797344	+	2942	0
ENSG00000251808	4	110853376	110853470	-	95	0
ENSG00000215961	4	110860582	110860647	-	66	0
ENSG00000251483	4	110945109	110945799	-	691	0
ENSG00000251312	4	111063583	111064227	+	645	0
ENSG00000200963	4	111331412	111331518	+	107	0
ENSG00000241722	4	111551854	111552173	+	320	0
ENSG00000248656	4	111640495	111648808	+	8314	0
ENSG00000250855	4	111802801	111839886	+	37086	0
ENSG00000248432	4	111804418	111809694	-	5277	0
ENSG00000249815	4	111826881	112072698	-	245818	0
ENSG00000250556	4	112068010	112068526	+	517	0
ENSG00000250307	4	112077598	112078400	+	803	0
ENSG00000240459	4	112116510	112116903	-	394	0
ENSG00000174749	4	112145397	112195256	+	49860	221
ENSG00000243280	4	112171215	112171527	+	313	0
ENSG00000260526	4	112229561	112231596	-	2036	140
ENSG00000138660	4	112231737	112270047	+	38311	3257
ENSG00000272567	4	112272968	112273316	-	349	0
ENSG00000145365	4	112274542	112285903	-	11362	228
ENSG00000073331	4	112285509	112442620	+	157112	1592
ENSG00000251441	4	112356135	112359819	+	3685	0
ENSG00000248697	4	112455924	112457785	+	1862	2
ENSG00000178403	4	112513516	112516172	-	2657	173
ENSG00000249509	4	112515385	112546881	+	31497	124
ENSG00000248439	4	112530371	112530672	-	302	0
ENSG00000138658	4	112539333	112636995	-	97663	235
ENSG00000250966	4	112564988	112565398	+	411	0
ENSG00000174720	4	112636964	112657592	+	20629	1261
ENSG00000249532	4	112646476	112650051	-	3576	0
ENSG00000199169	4	112647874	112647941	-	68	0
ENSG00000199145	4	112648004	112648071	-	68	0
ENSG00000207927	4	112648183	112648251	-	69	0
ENSG00000199102	4	112648363	112648430	-	68	0
ENSG00000274389	4	112648485	112648557	-	73	0
ENSG00000220924	4	112685055	112685503	+	449	0
ENSG00000250046	4	112693047	112706810	-	13764	7
ENSG00000248633	4	112693459	112693792	-	334	0
ENSG00000241002	4	112738672	112739106	+	435	1
ENSG00000202536	4	112755816	112755917	-	102	0
ENSG00000241741	4	112788083	112788878	-	796	17
ENSG00000250500	4	112797050	112798691	-	1642	0
ENSG00000145362	4	112818109	113383740	+	565632	46407
ENSG00000234841	4	112826307	112827607	+	1301	0
ENSG00000251126	4	112880298	112882330	-	2033	0
ENSG00000228814	4	112881718	112882132	-	415	0
ENSG00000248152	4	112979590	113071962	-	92373	0
ENSG00000249373	4	113031287	113034551	-	3265	0
ENSG00000275810	4	113152282	113152362	+	81	0
ENSG00000196656	4	113214046	113217170	-	3125	0
ENSG00000239279	4	113419840	113420136	+	297	0
ENSG00000206820	4	113420323	113420486	+	164	0
ENSG00000145349	4	113451032	113761927	-	310896	2307
ENSG00000250229	4	113840050	113840236	+	187	0
ENSG00000180801	4	113900284	113979727	-	79444	167
ENSG00000249304	4	113943256	113944320	+	1065	0
ENSG00000248716	4	114103938	114104225	+	288	0
ENSG00000174607	4	114598455	114678224	+	79770	4963
ENSG00000207931	4	114656759	114656854	+	96	0
ENSG00000250215	4	114713579	114714920	-	1342	16
ENSG00000240637	4	114799331	114799629	+	299	0
ENSG00000138653	4	114827763	115113876	-	286114	30
ENSG00000251308	4	115142982	115143303	+	322	0
ENSG00000250693	4	115628812	115629707	+	896	0
ENSG00000248488	4	115764099	115764819	-	721	0
ENSG00000250363	4	115920707	115921978	+	1272	0
ENSG00000248173	4	115922015	116297160	-	375146	14
ENSG00000250442	4	116043407	116044045	-	639	0
ENSG00000249259	4	116095110	116097066	-	1957	0
ENSG00000250627	4	116193997	116194751	-	755	0
ENSG00000270394	4	116298876	116300320	+	1445	0
ENSG00000250272	4	116378919	116379269	+	351	0
ENSG00000248139	4	116425983	116430892	-	4910	0
ENSG00000250791	4	116489364	116515146	-	25783	0
ENSG00000213493	4	116598161	116599611	+	1451	10
ENSG00000201752	4	116839279	116839385	+	107	0
ENSG00000271053	4	116858093	116858973	+	881	0
ENSG00000174599	4	117083554	117085576	-	2023	762
ENSG00000223605	4	117249924	117250188	+	265	0
ENSG00000224932	4	117314597	117360639	-	46043	16
ENSG00000228358	4	117360625	117372852	+	12228	7
ENSG00000237684	4	117413462	117414279	+	818	0
ENSG00000236922	4	117428396	117691188	+	262793	1047
ENSG00000213492	4	117574512	117576174	-	1663	0
ENSG00000229565	4	117834401	117869948	+	35548	0
ENSG00000164100	4	118033618	118258648	+	225031	2975
ENSG00000251463	4	118193405	118194751	-	1347	0
ENSG00000269893	4	118278709	118279823	+	1115	2959
ENSG00000275994	4	118279190	118279320	+	131	0
ENSG00000164099	4	118280038	118353003	-	72966	166
ENSG00000230671	4	118400514	118400834	-	321	0
ENSG00000279252	4	118459923	118460328	-	406	2
ENSG00000154608	4	118467590	118554204	+	86615	13
ENSG00000260404	4	118591773	118633729	+	41957	563
ENSG00000223225	4	118606450	118606553	+	104	0
ENSG00000225892	4	118632274	118634759	+	2486	208
ENSG00000248213	4	118635970	118638782	-	2813	22
ENSG00000251155	4	118640673	118640858	+	186	6
ENSG00000145388	4	118685368	118715433	+	30066	1695
ENSG00000150961	4	118722823	118838683	-	115861	447
ENSG00000172403	4	118850688	119061247	+	210560	2222
ENSG00000249002	4	119006032	119006401	+	370	0
ENSG00000249356	4	119069324	119070297	-	974	0
ENSG00000172399	4	119135784	119187789	+	52006	233
ENSG00000178636	4	119192773	119212644	-	19872	12
ENSG00000145390	4	119212587	119295517	+	82931	1689
ENSG00000164096	4	119296422	119304445	-	8024	10863
ENSG00000279402	4	119298779	119300535	-	1757	0
ENSG00000145384	4	119317250	119322390	-	5141	0
ENSG00000250412	4	119334329	119378233	+	43905	19
ENSG00000201186	4	119367562	119367646	+	85	0
ENSG00000249244	4	119391831	119395335	-	3505	2
ENSG00000260091	4	119409333	119410233	+	901	78
ENSG00000223208	4	119434005	119434108	-	104	0
ENSG00000248280	4	119440561	119450157	-	9597	64
ENSG00000245958	4	119454791	119552025	+	97235	1236
ENSG00000250950	4	119456350	119457277	+	928	0
ENSG00000138735	4	119494395	119628991	-	134597	1291
ENSG00000221245	4	119569699	119569825	+	127	0
ENSG00000250772	4	119799089	119804515	-	5427	0
ENSG00000250183	4	119937557	119963898	+	26342	0
ENSG00000250392	4	119939540	119964293	+	24754	0
ENSG00000200553	4	119947131	119947232	+	102	0
ENSG00000253825	4	120035033	120040615	-	5583	1
ENSG00000164109	4	120055608	120067074	-	11467	703
ENSG00000250938	4	120066958	120416766	+	349809	335
ENSG00000250219	4	120091046	120092282	-	1237	0
ENSG00000225665	4	120342056	120342647	+	592	0
ENSG00000249409	4	120639090	120650796	+	11707	0
ENSG00000138738	4	120684919	120922870	-	237952	719
ENSG00000212359	4	120810469	120810569	+	101	0
ENSG00000251609	4	120895494	120897083	-	1590	0
ENSG00000173376	4	121035613	121073021	-	37409	58
ENSG00000223006	4	121061172	121061478	-	307	0
ENSG00000250344	4	121071429	121080476	+	9048	0
ENSG00000271302	4	121118299	121118734	+	436	0
ENSG00000050730	4	121131408	121227466	-	96059	0
ENSG00000252183	4	121192797	121192903	-	107	0
ENSG00000207148	4	121329069	121329170	-	102	0
ENSG00000186867	4	121329312	121381059	-	51748	2
ENSG00000213480	4	121369433	121370345	-	913	0
ENSG00000264927	4	121402587	121402671	-	85	0
ENSG00000224062	4	121451541	121451967	+	427	0
ENSG00000164111	4	121667955	121697113	-	29159	7203
ENSG00000164112	4	121758933	121765427	-	6495	15
ENSG00000226757	4	121764585	121766814	+	2230	0
ENSG00000123737	4	121801317	121817021	+	15705	1110
ENSG00000145386	4	121816444	121823933	-	7490	183
ENSG00000138686	4	121824440	121870497	-	46058	1874
ENSG00000261501	4	121870583	121872848	+	2266	2
ENSG00000138741	4	121879027	121951754	-	72728	618
ENSG00000237868	4	122077840	122078318	-	479	2
ENSG00000241037	4	122087508	122087811	-	304	0
ENSG00000138688	4	122152333	122362758	+	210426	13856
ENSG00000164113	4	122378966	122429802	+	50837	0
ENSG00000109471	4	122451470	122456725	-	5256	0
ENSG00000138684	4	122612628	122621069	-	8442	0
ENSG00000227145	4	122618983	122689156	+	70174	1
ENSG00000224786	4	122730548	122732193	-	1646	67
ENSG00000181004	4	122732702	122744943	+	12242	685
ENSG00000244083	4	122815771	122816117	-	347	0
ENSG00000138685	4	122826708	122898236	+	71529	240
ENSG00000253069	4	122827014	122827090	+	77	0
ENSG00000240775	4	122840343	122840690	+	348	0
ENSG00000273007	4	122881878	122884712	-	2835	0
ENSG00000170917	4	122888697	122922968	-	34272	256
ENSG00000145375	4	122923074	123319450	+	396377	438
ENSG00000276962	4	122977895	122977972	-	78	0
ENSG00000216154	4	123007572	123007663	-	92	0
ENSG00000250322	4	123259949	123260118	-	170	0
ENSG00000164056	4	123396795	123403760	+	6966	907
ENSG00000249125	4	123490268	123522106	+	31839	0
ENSG00000251526	4	123505279	123527525	+	22247	0
ENSG00000249464	4	123650267	123930406	+	280140	63
ENSG00000226655	4	123744923	123745673	-	751	0
ENSG00000228489	4	123745750	123746226	-	477	0
ENSG00000250458	4	123861860	123862015	-	156	0
ENSG00000250484	4	124062462	124062990	+	529	0
ENSG00000249837	4	124149377	124252044	-	102668	2
ENSG00000248506	4	124435750	124437120	-	1371	0
ENSG00000248565	4	124462863	124463790	-	928	0
ENSG00000261083	4	124499942	124558434	-	58493	6
ENSG00000151458	4	124664052	124712732	-	48681	1301
ENSG00000196159	4	125316399	125492932	+	176534	730
ENSG00000201297	4	125362819	125362929	+	111	0
ENSG00000250149	4	125676718	125752793	+	76076	1
ENSG00000251436	4	125681177	125683668	-	2492	0
ENSG00000249555	4	125723267	125724217	-	951	0
ENSG00000251649	4	126070708	126072004	+	1297	0
ENSG00000251005	4	126106139	126106923	-	785	0
ENSG00000223620	4	126563509	126564776	+	1268	0
ENSG00000199862	4	127028107	127028219	-	113	0
ENSG00000250945	4	127043430	127077762	-	34333	2
ENSG00000248491	4	127096891	127470569	-	373679	15
ENSG00000248209	4	127493505	127493828	+	324	0
ENSG00000249795	4	127498327	127498807	+	481	0
ENSG00000164066	4	127623271	127726737	+	103467	4242
ENSG00000151475	4	127730378	127774299	+	43922	8
ENSG00000164070	4	127781821	127840733	+	58913	2981
ENSG00000244021	4	127812720	127813200	-	481	0
ENSG00000261668	4	127840198	127844040	-	3843	19
ENSG00000142731	4	127880861	127899195	+	18335	171
ENSG00000251821	4	127891991	127892082	+	92	0
ENSG00000164073	4	127917805	127965995	-	48191	1536
ENSG00000164074	4	127965306	128039711	+	74406	1298
ENSG00000138709	4	128061268	128222931	+	161664	1719
ENSG00000241651	4	128069014	128069612	-	599	0
ENSG00000248394	4	128155389	128156204	+	816	0
ENSG00000164040	4	128269237	128288829	-	19593	3890
ENSG00000251432	4	128292751	128519394	+	226644	442
ENSG00000273077	4	128552590	128553416	-	827	2
ENSG00000248187	4	128567972	128570531	-	2560	0
ENSG00000248802	4	128582999	128601407	-	18409	4
ENSG00000077684	4	128809623	128875224	+	65602	1416
ENSG00000151466	4	128864921	129093607	-	228687	1264
ENSG00000275647	4	128944628	128944956	+	329	0
ENSG00000151470	4	129093317	129116640	+	23324	1107
ENSG00000251345	4	129133106	129134098	+	993	0
ENSG00000248958	4	129135926	129139740	-	3815	0
ENSG00000251195	4	129177386	129179094	+	1709	0
ENSG00000250193	4	129299175	129305022	-	5848	0
ENSG00000246876	4	129724171	129771481	-	47311	0
ENSG00000249618	4	129771659	129955368	+	183710	10
ENSG00000234125	4	129903010	129904163	+	1154	0
ENSG00000251326	4	130376229	130386371	+	10143	0
ENSG00000248877	4	130494673	130495285	+	613	0
ENSG00000249018	4	130503357	130504344	-	988	0
ENSG00000280059	4	130808507	130811933	+	3427	0
ENSG00000250503	4	130881027	130885641	-	4615	0
ENSG00000250213	4	131112748	131113255	+	508	0
ENSG00000206782	4	131273242	131273348	+	107	0
ENSG00000250102	4	131380013	131541397	+	161385	1
ENSG00000248715	4	131540281	131540489	+	209	0
ENSG00000241392	4	131720260	131720543	-	284	0
ENSG00000252014	4	131768140	131768249	+	110	0
ENSG00000249416	4	131768233	131768578	+	346	0
ENSG00000251676	4	131773302	131791482	+	18181	0
ENSG00000184139	4	131857343	131857913	-	571	22
ENSG00000251555	4	131930031	131975952	-	45922	10
ENSG00000251598	4	132004810	132124031	-	119222	2
ENSG00000249463	4	132027175	132028434	-	1260	0
ENSG00000251051	4	132367786	132368479	-	694	0
ENSG00000248369	4	132435802	132447235	-	11434	0
ENSG00000251398	4	132591089	132678503	+	87415	3
ENSG00000249038	4	132592084	132592536	+	453	0
ENSG00000251488	4	132836772	132981677	-	144906	54
ENSG00000249513	4	132985510	132988677	-	3168	2
ENSG00000250241	4	133075311	133149116	-	73806	1352
ENSG00000248735	4	133124104	133126063	+	1960	0
ENSG00000138650	4	133149315	133208606	+	59292	13274
ENSG00000221637	4	133560856	133560934	-	79	0
ENSG00000250191	4	133574566	133575208	-	643	0
ENSG00000251388	4	133871246	134010690	-	139445	7
ENSG00000266277	4	134043467	134043553	-	87	0
ENSG00000254535	4	134196333	134201748	-	5416	24
